Asset_ID,MUTCD_Code,Description,Sign_Category,Legend_Text,Latitude,Longitude,Road_Name,Intersection_With,Condition_Rating,Status,Install_Date,Sheeting_Type,Sheeting_Manufacturer,Facing_Direction,Side_of_Road,Mount_Height,Measured_Value,Passes_Minimum,Replacement_Cost,Support_Tag,Support_Type,Support_Material,Support_Height_Inches,Support_Condition,Support_Status,Support_Install_Date
SGN-0001,R1-1,STOP,regulatory,STOP,39.814372,-89.651992,Montvale Dr,Veterans Pkwy,4,active,02/01/2023,Type XI,3M,270,E,85,,,,SUP-0001,square_tube,galvanized_steel,84,2,leaning,02/11/2020
SGN-0002,R1-3,Multi-Way Stop Plaque,regulatory,,39.814372,-89.651992,Montvale Dr,Veterans Pkwy,5,obscured,02/11/2020,Type I,,90,W,87,62,true,,SUP-0001,square_tube,galvanized_steel,84,2,leaning,02/11/2020
SGN-0003,D1-1,Street Name Sign,guide,VETERANS PKWY,39.814372,-89.651992,Montvale Dr,Veterans Pkwy,3,active,02/11/2020,Type III,,90,W,82,237,true,,SUP-0001,square_tube,galvanized_steel,84,2,leaning,02/11/2020
SGN-0004,R2-1,Speed Limit,regulatory,SPEED LIMIT 30,39.801108,-89.648083,Edwards St,,4,active,05/23/2020,Type III,,180,N,83,,,,SUP-0002,mast_arm,steel,208,3,active,05/23/2020
SGN-0005,D1-1,Street Name Sign,guide,EDWARDS ST,39.801108,-89.648083,Edwards St,,3,faded,05/23/2020,Type III,Avery Dennison,180,N,81,,,,SUP-0002,mast_arm,steel,208,3,active,05/23/2020
SGN-0006,R6-1,One Way (arrow),regulatory,ONE WAY,39.798035,-89.640511,5th St,Cook St,4,active,09/10/2023,Type XI,3M,180,N,79,,,,SUP-0003,square_tube,galvanized_steel,87,5,active,09/10/2023
SGN-0007,R5-1,Do Not Enter,regulatory,DO NOT ENTER,39.798035,-89.640511,5th St,Cook St,4,active,09/10/2023,Type XI,3M,90,W,89,,,,SUP-0003,square_tube,galvanized_steel,87,5,active,09/10/2023
SGN-0008,R1-1,STOP,regulatory,STOP,39.799519,-89.639660,9th St,Montvale Dr,3,active,11/29/2020,Type III,Avery Dennison,90,W,89,,,,SUP-0004,mast_arm,steel,214,3,active,11/29/2020
SGN-0009,D1-1,Street Name Sign,guide,MONTVALE DR,39.799519,-89.639660,9th St,Montvale Dr,4,active,11/29/2020,Type XI,3M,180,N,80,,,,SUP-0004,mast_arm,steel,214,3,active,11/29/2020
SGN-0010,R1-1,STOP,regulatory,STOP,39.798522,-89.649755,Veterans Pkwy,Martin Luther King Dr,3,obscured,12/30/2022,Type IX,Avery Dennison,90,W,76,482,true,,SUP-0005,u_channel,galvanized_steel,106,4,active,12/30/2022
SGN-0011,R1-3,Multi-Way Stop Plaque,regulatory,,39.798522,-89.649755,Veterans Pkwy,Martin Luther King Dr,5,active,11/07/2024,Type XI,3M,180,N,86,,,,SUP-0005,u_channel,galvanized_steel,106,4,active,12/30/2022
SGN-0012,R1-1,STOP,regulatory,STOP,39.798236,-89.645006,2nd St,Spring St,4,active,07/09/2014,Type III,3M,270,E,83,,,,SUP-0006,u_channel,aluminum,91,1,active,07/09/2014
SGN-0013,R1-3,Multi-Way Stop Plaque,regulatory,,39.798236,-89.645006,2nd St,Spring St,2,active,07/09/2014,Type I,3M,270,E,83,42,false,322,SUP-0006,u_channel,aluminum,91,1,active,07/09/2014
SGN-0014,R1-1,STOP,regulatory,STOP,39.801383,-89.641739,Spring St,2nd St,4,active,08/03/2024,Type XI,3M,180,N,90,595,true,,SUP-0007,u_channel,galvanized_steel,80,5,active,06/09/2021
SGN-0015,D1-1,Street Name Sign,guide,2ND ST,39.801383,-89.641739,Spring St,2nd St,5,active,04/28/2025,Type IX,,270,E,74,,,,SUP-0007,u_channel,galvanized_steel,80,5,active,06/09/2021
SGN-0016,R1-1,STOP,regulatory,STOP,39.799577,-89.649169,11th St,Spring St,5,replaced,03/15/2024,Type IX,3M,0,S,85,,,,SUP-0008,square_tube,aluminum,84,5,active,03/15/2024
SGN-0017,D1-1,Street Name Sign,guide,SPRING ST,39.799577,-89.649169,11th St,Spring St,5,active,03/15/2024,Type III,3M,0,S,85,245,true,,SUP-0008,square_tube,aluminum,84,5,active,03/15/2024
SGN-0018,R1-1,STOP,regulatory,STOP,39.824096,-89.641132,Rutledge St,Peoria Rd,5,faded,03/26/2024,Type XI,3M,0,S,81,,,,SUP-0009,u_channel,galvanized_steel,95,4,active,02/21/2023
SGN-0019,D1-1,Street Name Sign,guide,PEORIA RD,39.824096,-89.641132,Rutledge St,Peoria Rd,4,active,02/21/2023,Type IX,3M,270,E,82,435,true,,SUP-0009,u_channel,galvanized_steel,95,4,active,02/21/2023
SGN-0020,R1-1,STOP,regulatory,STOP,39.799226,-89.641846,Washington St,6th St,3,active,09/24/2024,Type III,3M,180,N,82,,,,SUP-0010,square_tube,aluminum,85,5,active,09/24/2024
SGN-0021,R1-3,Multi-Way Stop Plaque,regulatory,,39.799226,-89.641846,Washington St,6th St,5,active,09/24/2024,Type III,Avery Dennison,270,E,82,,,,SUP-0010,square_tube,aluminum,85,5,active,09/24/2024
SGN-0022,D1-1,Street Name Sign,guide,6TH ST,39.799226,-89.641846,Washington St,6th St,4,damaged,09/24/2024,Type XI,,270,E,87,,,,SUP-0010,square_tube,aluminum,85,5,active,09/24/2024
SGN-0023,D1-1,Street Name Sign,guide,6TH ST,39.799226,-89.641846,Washington St,6th St,5,active,09/24/2024,Type XI,3M,270,E,82,,,,SUP-0010,square_tube,aluminum,85,5,active,09/24/2024
SGN-0024,R2-1,Speed Limit,regulatory,SPEED LIMIT 35,39.801297,-89.646807,2nd St,Rutledge St,2,active,10/25/2023,Type IX,3M,90,W,87,,,222,SUP-0011,round_tube,galvanized_steel,96,4,active,10/25/2023
SGN-0025,D1-1,Street Name Sign,guide,RUTLEDGE ST,39.801297,-89.646807,2nd St,Rutledge St,4,obscured,10/25/2023,Type XI,3M,0,S,86,,,,SUP-0011,round_tube,galvanized_steel,96,4,active,10/25/2023
SGN-0026,R1-1,STOP,regulatory,STOP,39.757587,-89.608483,North Grand Ave,Veterans Pkwy,4,active,05/18/2019,Type III,3M,90,W,83,,,,SUP-0012,u_channel,galvanized_steel,80,3,active,05/18/2019
SGN-0027,R1-3,Multi-Way Stop Plaque,regulatory,,39.757587,-89.608483,North Grand Ave,Veterans Pkwy,3,active,04/07/2022,Type IX,3M,270,E,78,,,,SUP-0012,u_channel,galvanized_steel,80,3,active,05/18/2019
SGN-0028,D1-1,Street Name Sign,guide,VETERANS PKWY,39.757587,-89.608483,North Grand Ave,Veterans Pkwy,5,faded,05/18/2019,Type IX,3M,90,W,88,,,,SUP-0012,u_channel,galvanized_steel,80,3,active,05/18/2019
SGN-0029,R1-1,STOP,regulatory,STOP,39.820253,-89.641285,Walnut St,Dirksen Pkwy,3,active,09/10/2015,Type I,3M,270,E,84,,,,SUP-0013,square_tube,aluminum,85,2,damaged,12/11/2013
SGN-0030,D1-1,Street Name Sign,guide,DIRKSEN PKWY,39.820253,-89.641285,Walnut St,Dirksen Pkwy,2,faded,12/11/2013,Type III,3M,180,N,77,122,true,333,SUP-0013,square_tube,aluminum,85,2,damaged,12/11/2013
SGN-0031,R1-1,STOP,regulatory,STOP,39.799240,-89.641363,5th St,Pasfield St,4,damaged,04/17/2024,Type XI,3M,90,W,83,,,,SUP-0014,square_tube,galvanized_steel,79,5,active,04/17/2024
SGN-0032,D1-1,Street Name Sign,guide,PASFIELD ST,39.799240,-89.641363,5th St,Pasfield St,4,active,08/18/2025,Type III,3M,90,W,83,,,,SUP-0014,square_tube,galvanized_steel,79,5,active,04/17/2024
SGN-0033,S1-1,School Zone,school,SCHOOL ZONE,39.768411,-89.647072,Black Ave,6th St,4,removed,07/08/2024,Type XI,Avery Dennison,270,E,80,,,,SUP-0015,u_channel,galvanized_steel,80,5,leaning,07/08/2024
SGN-0034,S3-1,School Speed Limit,school,SCHOOL SPEED LIMIT 20,39.768411,-89.647072,Black Ave,6th St,5,active,07/08/2024,Type III,3M,270,E,77,,,,SUP-0015,u_channel,galvanized_steel,80,5,leaning,07/08/2024
SGN-0035,R1-1,STOP,regulatory,STOP,39.795923,-89.646259,11th St,Edwards St,3,active,06/03/2019,Type III,3M,180,N,92,,,,SUP-0016,wood,wood,91,2,damaged,04/27/2014
SGN-0036,D1-1,Street Name Sign,guide,EDWARDS ST,39.795923,-89.646259,11th St,Edwards St,3,active,04/27/2014,Type III,Avery Dennison,270,E,76,,,,SUP-0016,wood,wood,91,2,damaged,04/27/2014
SGN-0037,R1-1,STOP,regulatory,STOP,39.786173,-89.635124,Bruns Ln,9th St,4,active,01/05/2025,Type IX,3M,270,E,79,,,,SUP-0017,u_channel,galvanized_steel,84,5,active,01/05/2025
SGN-0038,R1-3,Multi-Way Stop Plaque,regulatory,,39.786173,-89.635124,Bruns Ln,9th St,4,active,01/05/2025,Type III,Avery Dennison,90,W,76,,,,SUP-0017,u_channel,galvanized_steel,84,5,active,01/05/2025
